ChargeStartDateTime;Model;Country;SiteLocationName;Description;QuantityBase;QuantityTier1;QuantityTier2;QuantityTier3;QuantityTier4;InvoiceNumber;UnitCostBase;UnitCostTier1;UnitCostTier2;UnitCostTier3;UnitCostTier4;VAT;Total Exc. VAT;Total Inc. VAT;Status;Invoice
2022-06-19T09:30:15+02:00;ms;PL;Katowice, Poland;CHARGING : NO_CHARGE;31.00 kwh;N/A;N/A;N/A;N/A;;1.60/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-05-21T23:40:10+02:00;ms;PL;Katowice, Poland;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-05-21T19:45:28+02:00;ms;PL;Lucmierz, Poland;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-05-21T10:26:59+02:00;ms;PL;Katowice, Poland;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-05-14T21:17:26+02:00;ms;PL;Katowice, Poland - E.Leclerc;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-05-14T14:34:17+02:00;ms;PL;Lucmierz, Poland;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-05-14T09:17:53+02:00;ms;PL;Katowice, Poland;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-05-12T16:34:56+02:00;ms;PL;Katowice, Poland - E.Leclerc;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-04-27T15:51:23+02:00;ms;PL;Katowice, Poland;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-04-27T09:02:04+02:00;ms;PL;Katowice, Poland;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-03-09T14:08:46+01:00;ms;PL;Katowice, Poland;CHARGING : FREE_SITE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-26T09:51:38+01:00;ms;PL;Katowice, Poland;CHARGING : NO_CHARGE;32.00 kwh;N/A;N/A;N/A;N/A;;1.45/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-26T07:16:18+01:00;ms;CZ;Olomouc, Czech Republic;CHARGING : NO_CHARGE;48.00 kwh;N/A;N/A;N/A;N/A;;9.20/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-26T05:08:58+01:00;ms;AT;Poysdorf, Austria;CHARGING : NO_CHARGE;38.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-26T03:49:27+01:00;ms;AT;Wiener Neustadt, Austria;CHARGING : NO_CHARGE;4.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-26T02:22:12+01:00;ms;AT;Kapfenberg, Austria;CHARGING : NO_CHARGE;4.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-25T20:35:54+01:00;ms;AT;Kapfenberg, Austria;CHARGING : NO_CHARGE;44.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-25T17:12:56+01:00;ms;AT;Villach, Austria;CHARGING : NO_CHARGE;52.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-25T14:37:05+01:00;ms;IT;Palmanova, Italy;CHARGING : NO_CHARGE;43.00 kwh;N/A;N/A;N/A;N/A;;0.44/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-25T13:26:30+01:00;ms;IT;Mogliano Veneto, Italy;CHARGING : NO_CHARGE;14.00 kwh;N/A;N/A;N/A;N/A;;0.44/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-25T11:42:47+01:00;ms;IT;Occhiobello, Italy;CHARGING : NO_CHARGE;40.00 kwh;N/A;N/A;N/A;N/A;;0.44/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-25T09:39:59+01:00;ms;IT;Firenze, Italy;CHARGING : NO_CHARGE;26.00 kwh;N/A;N/A;N/A;N/A;;0.44/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-24T16:23:10+01:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;46.00 kwh;N/A;N/A;N/A;N/A;;0.43/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-21T18:03:58+01:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;38.00 kwh;N/A;N/A;N/A;N/A;;0.43/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-17T12:53:25+01:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;44.00 kwh;N/A;N/A;N/A;N/A;;0.43/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-16T16:50:27+01:00;ms;IT;Forte dei Marmi, Italy;CHARGING : NO_CHARGE;44.00 kwh;N/A;N/A;N/A;N/A;;0.44/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-16T14:33:08+01:00;ms;IT;Firenze, Italy;CHARGING : NO_CHARGE;32.00 kwh;N/A;N/A;N/A;N/A;;0.44/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-16T12:23:42+01:00;ms;IT;Occhiobello, Italy;CHARGING : NO_CHARGE;38.00 kwh;N/A;N/A;N/A;N/A;;0.44/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-16T10:56:53+01:00;ms;IT;Mogliano Veneto, Italy;CHARGING : NO_CHARGE;32.00 kwh;N/A;N/A;N/A;N/A;;0.44/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-16T09:36:07+01:00;ms;IT;Palmanova, Italy;CHARGING : NO_CHARGE;28.00 kwh;N/A;N/A;N/A;N/A;;0.44/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-16T07:39:24+01:00;ms;AT;Villach, Austria;CHARGING : NO_CHARGE;32.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-16T04:56:37+01:00;ms;AT;Kapfenberg, Austria;CHARGING : NO_CHARGE;5.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-15T21:11:55+01:00;ms;AT;Kapfenberg, Austria;CHARGING : NO_CHARGE;47.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-15T19:47:06+01:00;ms;AT;Wiener Neustadt, Austria;CHARGING : NO_CHARGE;24.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-15T17:24:09+01:00;ms;AT;Poysdorf, Austria;CHARGING : NO_CHARGE;35.00 kwh;N/A;N/A;N/A;N/A;;0.36/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-15T15:07:25+01:00;ms;CZ;Olomouc, Czech Republic;CHARGING : NO_CHARGE;41.00 kwh;N/A;N/A;N/A;N/A;;9.20/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-02-15T13:04:47+01:00;ms;PL;Katowice, Poland;CHARGING : NO_CHARGE;19.00 kwh;N/A;N/A;N/A;N/A;;1.45/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2021-09-17T20:33:11+02:00;ms;PL;Radom, Poland;CHARGING : NO_CHARGE;31.00 kwh;N/A;N/A;N/A;N/A;;1.55/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2021-07-23T15:40:36+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;26.00 kwh;N/A;N/A;N/A;N/A;;0.41/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2021-07-19T17:24:04+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;28.00 kwh;N/A;N/A;N/A;N/A;;0.41/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2021-07-18T12:54:26+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;60.00 kwh;N/A;N/A;N/A;N/A;;0.41/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
